CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
101000822685,04/15/2013 05:30:00 PM,04/17/2013 12:53:00 PM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,25 Millstone Rd  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,R1,25 Millstone Rd,02136,42.23368,-71.13375,City Worker App,"(42.23368, -71.13375)"
101000802094,03/12/2013 08:49:00 AM,03/12/2013 11:36:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,102 Sprague St  Hyde Park  MA  02136,,8,5,E18,Hyde Park,10,Ward 18,1820,R1,102 Sprague St,02136,42.23369,-71.13897,City Worker App,"(42.23369, -71.13897)"
101000808228,03/21/2013 07:21:00 AM,03/21/2013 12:06:00 PM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,78 Sprague St  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,R1,78 Sprague St,02136,42.23474,-71.13778,City Worker App,"(42.23474, -71.13778)"
101000804678,03/15/2013 08:46:00 AM,03/15/2013 10:40:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,50 Sprague St  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,I,50 Sprague St,02136,42.23543,-71.13643,City Worker App,"(42.23543, -71.13643)"
101000804660,03/15/2013 08:34:00 AM,03/15/2013 10:42:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,45 Sprague St  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,R1,45 Sprague St,02136,42.236124,-71.137106,City Worker App,"(42.236124, -71.137106)"
101000811028,03/26/2013 08:36:00 AM,03/26/2013 11:20:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,0 Neponset Valley Pkwy  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,RL,0 Neponset Valley Pkwy,02136,42.236969,-71.13024,City Worker App,"(42.236969, -71.13024)"
101000811030,03/26/2013 08:39:00 AM,03/26/2013 11:20:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,19 Yuill Cir  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,RC,19 Yuill Cir,02136,42.237024,-71.130549,City Worker App,"(42.237024, -71.130549)"
101000811037,03/26/2013 08:42:00 AM,03/26/2013 11:19:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,0 Yuill Cir  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,CL,0 Yuill Cir,02136,42.237427,-71.130815,City Worker App,"(42.237427, -71.130815)"
101000811038,03/26/2013 08:43:00 AM,03/26/2013 11:19:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,0 Yuill Cir  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,CL,0 Yuill Cir,02136,42.237427,-71.130815,City Worker App,"(42.237427, -71.130815)"
101000811034,03/26/2013 08:42:00 AM,03/26/2013 11:13:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 08: Hyde Park,PWDx,0 Yuill Cir  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,CL,0 Yuill Cir,02136,42.237427,-71.130815,City Worker App,"(42.237427, -71.130815)"
